field	source_line	owner	type	referencing_files
paused_plan_interview	848	plans	Option<PlanInterviewState>	src/handlers/view.rs, src/app/tests.rs, src/app/feature_ops.rs, src/app/mod.rs, src/app/plan_interview.rs, src/ui/list.rs
pending_todo_plan_brief	857	plans	Option<String>	src/app/tests.rs, src/app/mod.rs, src/app/plan_interview.rs
pending_todo_spawn_prompt	865	todos	Option<String>	src/app/tests.rs, src/app/feature_ops.rs, src/app/mod.rs, src/app/plan_interview.rs
todo_project_visible	868	todos	bool	src/app/tests.rs, src/app/todos.rs, src/app/mod.rs, src/ui/dashboard.rs
todo_global_visible	871	todos	bool	src/app/tests.rs, src/app/todos.rs, src/app/mod.rs, src/ui/dashboard.rs
message	872	app_infrastructure	Option<String>	src/tmux.rs, src/headless.rs, src/automation.rs, src/hook_payload.rs, src/worddiff.rs, src/extension.rs, src/context_collectors.rs, src/debug.rs, src/usage.rs, src/transcript.rs, src/token_tracking.rs, src/ipc.rs, src/main.rs, src/github.rs, src/highlight/tree_sitter.rs, src/handlers/compose.rs, src/handlers/view.rs, src/handlers/dialog.rs, src/handlers/mouse.rs, src/handlers/feature_creation.rs, src/handlers/diff.rs, src/handlers/learning.rs, src/handlers/diff_review.rs, src/handlers/dormant.rs, src/handlers/picker.rs, src/handlers/normal.rs, src/handlers/prompt_library.rs, src/handlers/plan_interview.rs, src/db/pr_investigations.rs, src/db/migrations.rs, src/db/debug_log.rs, src/app/search.rs, src/app/compose.rs, src/app/view.rs, src/app/session_ops.rs, src/app/precall.rs, src/app/review_destination.rs, src/app/automation.rs, src/app/config_wizard.rs, src/app/triage_feature.rs, src/app/pr_review.rs, src/app/claude_session_picker.rs, src/app/prompt_overrides.rs, src/app/tests.rs, src/app/rename.rs, src/app/diff.rs, src/app/codex_session_picker.rs, src/app/state.rs, src/app/resource_gate.rs, src/app/util.rs, src/app/codex_sessions.rs, src/app/hooks.rs, src/app/commands.rs, src/app/toast.rs, src/app/sync.rs, src/app/learning.rs, src/app/session_config.rs, src/app/opencode_storage.rs, src/app/feature_ops.rs, src/app/bookmarks.rs, src/app/project_ops.rs, src/app/dormant.rs, src/app/attention.rs, src/app/review_memory.rs, src/app/ai_review.rs, src/app/notifications.rs, src/app/editor_ops.rs, src/app/opencode.rs, src/app/context_settings.rs, src/app/codex_live.rs, src/app/prompt_library.rs, src/app/claude_sessions.rs, src/app/todos.rs, src/app/mod.rs, src/app/syntax.rs, src/app/review.rs, src/app/plan_interview.rs, src/ui/status.rs, src/ui/toast.rs, src/ui/dashboard.rs, src/ui/picker.rs, src/ui/dialogs/pr_review.rs, src/ui/dialogs/debug.rs, src/ui/dialogs/hooks.rs, src/ui/dialogs/learning.rs, src/ui/dialogs/dormant.rs, src/ui/dialogs/prompt_library.rs, src/ui/dialogs/plan_interview.rs
toasts	873	app_infrastructure	Vec<Toast>	src/handlers/view.rs, src/handlers/dialog.rs, src/handlers/picker.rs, src/app/pr_review.rs, src/app/tests.rs, src/app/toast.rs, src/app/learning.rs, src/app/review_memory.rs, src/app/mod.rs, src/ui/toast.rs, src/ui/dashboard.rs
should_quit	874	app_infrastructure	bool	src/main.rs, src/handlers/harness.rs, src/app/tests.rs, src/app/mod.rs, src/app/plan_interview.rs
pane_content	875	pane_input	String	src/handlers/mouse.rs, src/app/view.rs, src/app/session_ops.rs, src/app/claude_session_picker.rs, src/app/tests.rs, src/app/codex_session_picker.rs, src/app/switcher.rs, src/app/opencode.rs, src/app/mod.rs, src/ui/pane.rs, src/ui/dashboard.rs
pane_lines	876	pane_input	Vec<Line<'static>>	src/app/tests.rs, src/app/mod.rs, src/ui/pane.rs, src/ui/dashboard.rs
pane_content_cols	877	pane_input	u16	src/main.rs, src/handlers/mouse.rs, src/app/tests.rs, src/app/mod.rs
pane_content_rows	878	pane_input	u16	src/main.rs, src/handlers/mouse.rs, src/app/tests.rs, src/app/mod.rs
viewport_cols	879	pane_input	u16	src/main.rs, src/handlers/view.rs, src/handlers/mouse.rs, src/app/view.rs, src/app/tests.rs, src/app/mod.rs
viewport_rows	880	pane_input	u16	src/main.rs, src/handlers/view.rs, src/app/tests.rs, src/app/mod.rs
viewport_total_rows	884	pane_input	u16	src/main.rs, src/handlers/view.rs, src/app/view.rs, src/app/tests.rs, src/app/mod.rs
tmux_cursor	885	pane_input	Option<(u16, u16)>	src/app/view.rs, src/app/tests.rs, src/app/mod.rs, src/ui/pane.rs, src/ui/dashboard.rs
